stage,id,bytes,strategy,rounds,decode_ns,lifecycle_ns,bytes_per_second,paired_percent,ci95_low,ci95_high,allocations,allocated_bytes
exploratory,200M-25912207,595363,native,11,561877.4545454546,681237.3636363636,1059595816.104838,0.5951371958535779,-0.7993046780580918,1.9895790697652478,10469,5002219
exploratory,200M-25912207,595363,u256,11,560033.5454545454,682572.4545454546,1063084532.7609434,0.26252387370146707,-0.5715701057020763,1.0966178531050106,10469,5002219
exploratory,200M-25912207,595363,integers,11,560008.0,684975.0909090909,1063133026.6710476,0.2626694199248991,-0.9103616000284229,1.4357004398782212,10469,5002219
exploratory,200M-25912207,595363,count_int,11,582214.1818181818,713865.3636363636,1022584159.9061639,4.236486332612117,3.162131144907815,5.310841520316418,9517,1550059
exploratory,200M-25912207,595363,estimate_int,11,557058.5454545454,723179.4545454546,1068761990.7422822,-0.2688594816884912,-1.2184338558060812,0.6807148924290987,10841,3593499
exploratory,200M-25912207,595363,hybrid_int,11,574610.9090909091,696372.0,1036115031.1989774,2.8801542473545343,1.2577399023910494,4.502568592318019,9969,2553027
exploratory,200M-25912208,702247,baseline,11,699598.9090909091,862778.8181818182,1003785155.8581359,0.0,0.0,0.0,13452,5517732
exploratory,200M-25912208,702247,manual,11,713101.3636363636,876536.9090909091,984778652.5312288,1.9364688533954597,0.9940647121885889,2.8788729946023306,13452,5517732
exploratory,200M-25912208,702247,count,11,739045.4545454546,913037.6363636364,950208130.8813579,5.648089748727949,4.90824437041471,6.387935127041187,12425,1978372
exploratory,200M-25912208,702247,estimate,11,742922.3636363636,916746.0,945249509.7370996,6.162929972485915,1.273721973589792,11.052137971382038,13896,4401260
exploratory,200M-25912208,702247,hybrid256,11,729670.4545454546,889120.5454545454,962416657.5820342,4.310971107499713,2.5851810228063252,6.0367611921931,12891,3239524
exploratory,200M-25912208,702247,bounded,11,726075.5454545454,896833.0,967181727.0203915,3.800294187761607,2.3021468115672254,5.298441563955989,14145,4709972
exploratory,200M-25912208,702247,native,11,700868.7272727273,870797.4545454546,1001966520.5103899,0.1917270355911655,-0.9892108067902556,1.3726648779725867,13452,5517732
exploratory,200M-25912208,702247,u256,11,713123.1818181818,872568.2727272727,984748522.9824505,1.9246533945057396,0.18537663482415745,3.6639301541873217,13452,5517732
exploratory,200M-25912208,702247,integers,11,701942.0909090909,867016.1818181818,1000434379.2669765,0.3502040729030295,-0.6418790164371244,1.3422871622431833,13452,5517732
exploratory,200M-25912208,702247,count_int,11,725472.6363636364,921703.2727272727,967985510.1357749,3.7140648711035507,2.61153632108263,4.816593421124471,12425,1978372
exploratory,200M-25912208,702247,estimate_int,11,699327.1818181818,887121.4545454546,1004175181.8858621,-0.027870702104274257,-0.7493253774560643,0.6935839732475159,13896,4401260
exploratory,200M-25912208,702247,hybrid_int,11,715157.2727272727,902682.0909090909,981947645.3367537,2.2316427039959397,1.5567093083742414,2.906576099617638,12891,3239524
exploratory,200M-25912209,635819,baseline,11,641201.3636363636,776967.0,991605813.8026417,0.0,0.0,0.0,11764,5112098
exploratory,200M-25912209,635819,manual,11,650576.5454545454,792730.4545454546,977316204.2842559,1.494072692277951,0.22622534070921319,2.761920043846689,11764,5112098
exploratory,200M-25912209,635819,count,11,688025.3636363636,840464.0909090909,924121454.8248023,7.341616315975123,5.352689039848441,9.330543592101805,10665,1722618
exploratory,200M-25912209,635819,estimate,11,675893.6363636364,839507.3636363636,940708664.4886299,5.45096884416147,2.798389243512846,8.103548444810095,12287,4068178
exploratory,200M-25912209,635819,hybrid256,11,684271.1818181818,831417.3636363636,929191549.9211305,6.80944418604661,3.7097966544296925,9.909091717663529,11172,2800050
exploratory,200M-25912209,635819,bounded,11,682723.0,823273.0,931298637.9541923,6.530373812530279,3.858182614968971,9.202565010091586,12486,4403930
exploratory,200M-25912209,635819,native,11,644644.7272727273,784320.0909090909,986309160.8457484,0.5883353672905459,-1.1597268475246252,2.3363975821057172,11764,5112098
exploratory,200M-25912209,635819,u256,11,643980.2727272727,787293.3636363636,987326828.0521863,0.5121776568218277,-1.6887677942966428,2.713123107940298,11764,5112098
exploratory,200M-25912209,635819,integers,11,646576.3636363636,806115.5454545454,983362578.2794411,0.8956357280109248,-2.4688409869361605,4.26011244295801,11764,5112098
exploratory,200M-25912209,635819,count_int,11,686913.6363636364,833096.0,925617088.2934867,7.180449323909423,4.022211548223131,10.338687099595715,10665,1722618
exploratory,200M-25912209,635819,estimate_int,11,655838.3636363636,826926.2727272727,969475156.1568247,2.3439749136396357,-0.08080255786218515,4.768752385141457,12287,4068178
exploratory,200M-25912209,635819,hybrid_int,11,664470.9090909091,810170.9090909091,956880115.1428752,3.673928699610289,1.6863049428124717,5.661552456408106,11172,2800050
exploratory,200M-25912210,613528,baseline,11,579236.7272727273,708382.1818181818,1059200791.511839,0.0,0.0,0.0,10873,4970256
exploratory,200M-25912210,613528,manual,11,586097.1818181818,715967.4545454546,1046802508.2405665,1.1839959073134176,0.877351516402792,1.4906402982240432,10873,4970256
exploratory,200M-25912210,613528,count,11,617960.7272727273,757030.8181818182,992826846.3073852,6.686170203059018,6.200517146853186,7.17182325926485,9893,1629784
exploratory,200M-25912210,613528,estimate,11,600358.9090909091,753480.7272727273,1021935363.5128562,3.6419451659287283,3.208073607245627,4.07581672461183,11290,3786752
exploratory,200M-25912210,613528,hybrid256,11,607919.3636363636,738314.3636363636,1009225954.4589721,4.956637003243885,4.449255640799577,5.464018365688193,10353,2664248
